,source,target,is_a,weight
338,rokesamas,Renzo_Reggiardo,fan,70.4333333333
339,kenit00,Renzo_Reggiardo,fan,69.5666666667
340,Anthoanet425,Renzo_Reggiardo,fan,107.733333333
341,lau_zanb,Renzo_Reggiardo,fan,90.3666666667
342,maytenicoleram1,Renzo_Reggiardo,fan,41.5666666667
343,fioricsl07,Renzo_Reggiardo,fan,37.8666666667
344,MilagrosCarden5,Renzo_Reggiardo,fan,80.8
345,lawandjust,Renzo_Reggiardo,fan,0.266666666667
346,MoshiJully,Renzo_Reggiardo,fan,102.066666667
347,BEGRO92,Renzo_Reggiardo,fan,88.9666666667
348,alexpon2004,Renzo_Reggiardo,fan,102.9
349,Sina2st,Renzo_Reggiardo,fan,48.5666666667
350,5399584a6281445,Renzo_Reggiardo,fan,39.1333333333
351,Yesik_FloresH,Renzo_Reggiardo,fan,81.6
352,ruizary,Renzo_Reggiardo,fan,101.966666667
353,Lenguadepuma,Renzo_Reggiardo,fan,91.4666666667
354,acanciobello,Renzo_Reggiardo,fan,84.6
355,Mangel1977Mr,Renzo_Reggiardo,fan,55.6
356,iturrichristian,Renzo_Reggiardo,fan,55.7666666667
357,Jhairgomez1998,Renzo_Reggiardo,fan,29.5
358,ELI_ROCIO,Renzo_Reggiardo,fan,102.4
359,vansita7,Renzo_Reggiardo,fan,100.9
360,edgarhv,Renzo_Reggiardo,fan,111.766666667
361,medalit2009,Renzo_Reggiardo,fan,61.9333333333
362,dj_jean90,Renzo_Reggiardo,fan,67.0
363,Alexisaponte8,Renzo_Reggiardo,fan,78.8333333333
364,Xatita3021,Renzo_Reggiardo,fan,82.3
365,roma3088,Renzo_Reggiardo,fan,112.433333333
366,SVarilla,Renzo_Reggiardo,fan,88.6333333333
367,paola_ordonez,Renzo_Reggiardo,fan,109.133333333
368,anitabendezu26,Renzo_Reggiardo,fan,58.2666666667
369,pahooltorres,Renzo_Reggiardo,fan,89.4333333333
370,flordelotto900,Renzo_Reggiardo,fan,103.3
371,AscayaDiaz,Renzo_Reggiardo,fan,39.9666666667
372,rubenzfranz,Renzo_Reggiardo,fan,109.533333333
373,0e46b1749b4247c,Renzo_Reggiardo,fan,38.3
374,NoeYenque,Renzo_Reggiardo,fan,92.0
375,shiomimp,Renzo_Reggiardo,fan,53.9333333333
376,monojaga78,Renzo_Reggiardo,fan,66.7
377,Lucita_LODVG,Renzo_Reggiardo,fan,80.4333333333
378,GCBA_GRO,Renzo_Reggiardo,fan,85.4666666667
379,gabriela_dvo,Renzo_Reggiardo,fan,103.5
380,Pedroviju,Renzo_Reggiardo,fan,61.3
381,TITI2406,Renzo_Reggiardo,fan,102.0
382,anabelasandarri,Renzo_Reggiardo,fan,51.1666666667
383,Diezcq,Renzo_Reggiardo,fan,66.6666666667
384,gugo72,Renzo_Reggiardo,fan,97.3666666667
385,chagosolari,Renzo_Reggiardo,fan,111.6
386,angim1710,Renzo_Reggiardo,fan,109.566666667
387,yaritzamelissa,Renzo_Reggiardo,fan,56.4333333333
388,hectordionel,Renzo_Reggiardo,fan,93.1333333333
389,maraortega,Renzo_Reggiardo,fan,94.5
390,Sarita9422,Renzo_Reggiardo,fan,66.8666666667
391,karinnaeve,Renzo_Reggiardo,fan,87.4
392,Oherrera_5586,Renzo_Reggiardo,fan,85.5333333333
393,VentoEme,Renzo_Reggiardo,fan,55.6333333333
394,lunayestrella09,Renzo_Reggiardo,fan,110.433333333
395,AntonioRamCas,Renzo_Reggiardo,fan,75.8666666667
396,GuerreElmer,Renzo_Reggiardo,fan,52.3666666667
397,eddipavell,Renzo_Reggiardo,fan,56.5
398,SipionMartin,Renzo_Reggiardo,fan,1.0
399,irmitalafierita,Renzo_Reggiardo,fan,56.6
400,gessical17,Renzo_Reggiardo,fan,43.7
401,alexzarak,Renzo_Reggiardo,fan,103.4
402,SuricVictor,Renzo_Reggiardo,fan,34.3333333333
403,corazondelarisa,Renzo_Reggiardo,fan,33.4333333333
404,danielalayodiaz,Renzo_Reggiardo,fan,92.9666666667
405,cladudia26,Renzo_Reggiardo,fan,54.7666666667
406,bito_12,Renzo_Reggiardo,fan,102.4
407,fedsonpg,Renzo_Reggiardo,fan,72.2333333333
408,juliocortazar16,Renzo_Reggiardo,fan,40.2333333333
