fecha,Positividad,Likes,ReTweets,txt
2018-07-30 09:31:25,0.014942509632837235,0,0,"Gomes vuelve pronto, no te preocupes. Mas bien ayudanos a difundir nuestra candidatura, que mucha gente no está enterada. Gracias."
2018-07-30 15:26:25,0.32823650481604266,5,0,
2018-07-30 15:57:07,0.02635639354976182,48,5,Gracias Jaime Bayly. Hay que renovar la política efectivamente.
2018-07-31 14:38:01,0.9474391621637245,0,1,será un estupendo Regidor para Lima.
2018-07-31 14:38:59,0.5511179317217105,6,4,Un Regidor que defenderá los derechos de los trabajadores.
2018-08-01 16:33:50,0.6631113835060599,15,0,Un abrazo para Advíncula.
2018-08-02 00:08:03,0.038549953194827,63,20,Reunión de trabajo con Mario Guzmán y candidatos a Regidores sobre el problema de los peajes. Demasiado abuso. Mañana visitaremos puntos criticos.
2018-08-02 02:05:42,0.31821616312847095,146,72,¡Que increible! Clausuran la VIDENA de la manera más absurda. ¿Dónde van a entrenar ahora nuestros deportistas que se preparan para los Panamericanos? ¿El Alcalde de San Luis está enterado? ¿Alguien va a ayudar a nuestros deportistas que deben pelear contra todos?
2018-08-02 06:40:06,0.045929946066647256,1,0,"¿Qué? Tardó TRES AÑOS la Mumicipalidad en contestar, el IPD subsanó en el día y la Municipalidad clausuró en la tatde ¿De qué hablas? ¿ y nuestros deportistas qué? ¿quién los defiende de Alcaldes que juegan para los rivales? Por favor"
2018-08-02 06:43:29,0.05775565687377461,1,0,"Este problema es con el IPD , no con la FPF. Los q se quedan sin entrenar son atletas y otros deportistas. No futbolistas. No todo es futbol Daniel."
2018-08-02 06:46:54,0.031019158793792863,2,0,"Cumplieron. Los q no cumplieron fueron de la Munucipalidad q tardaron 3 años en contestar. Y en todo caso, un poco de sentido común, nuestros deportistas se están preparando para Panamericanos. ¿A quien creen que castigan?"
2018-08-02 14:02:36,0.04626056150284089,0,0,Ni enterado ¿qué pasó?
2018-08-02 14:05:38,0.05220692883706807,3,0,"Ojalá haya una rapida solución, porque mientras lo discutimos, nuestroa deportistas no tienen donde entrenar, mientras todos sus rivales, en sus respectivos paises, lo hacen sin inconvenientes y con el apoyo de sus autoridades"
2018-08-02 18:01:59,0.5445188797712415,14,2,A ver si entiende la Municipalidad de San Luis. es una de nuestras más importantes deportistas. Todos debemos jugar para Perú.
2018-08-02 18:01:59,0.5445188797712415,14,2,A ver si entiende la Municipalidad de San Luis. es una de nuestras más importantes deportistas. Todos debemos jugar para Perú.
2018-08-02 18:04:31,0.1016554513916725,0,0,"La historia completa. Presentó los papeles y le respondieron años después y ese mismo dia lo clausuraron. Pero además, sentido común, no podemos jugar en contra de nuestros deportistas."
2018-08-03 00:37:49,0.32823650481604266,69,10,
2018-08-03 01:18:20,0.22170662085565299,0,0,Si claro. Después de ver la reacción de la gente.
2018-08-03 01:44:32,0.441790940003079,33,8,Gracias San Borja.#BeingoleaOlaFeliz
2018-08-03 01:44:32,0.07566596181400088,40,7,Gracias Surquillo.
2018-08-03 01:44:33,0.441790940003079,25,6,Gracias La Victoria.
2018-08-03 02:35:37,0.441790940003079,61,7,Gracias San Juan de Lurigancho.
2018-08-03 02:39:41,0.5901475219630348,0,0,Pronto
2018-08-03 16:25:49,0.5901475219630348,1,0,Pronto
2018-08-03 16:27:09,0.02734926117334306,0,0,Hay que denunciar. Hay que enfrentar la corrupción
2018-08-03 17:45:00,0.654764952651135,13,3,Comienza el futbol femenino.
2018-08-03 20:23:19,0.19403049837947078,2,0,El plan es publuco. Está en el portal del JNE.
2018-08-03 20:24:06,0.32823650481604266,1,0,
2018-08-03 20:24:37,0.06927228972130953,1,0,Ese es el link.
2018-08-03 20:48:44,0.32823650481604266,8,3,
2018-08-04 03:14:56,0.9655462205943401,43,7,Terminando una caminata por San Martin de Porres con Magnifica recepción de la gente. Gracias.
2018-08-04 14:52:32,0.6631211687769895,39,6,"Desde el lunes vuelve ""Hablemos de Deporte"" por y"
2018-08-04 14:52:32,0.6631211687769895,39,6,"Desde el lunes vuelve ""Hablemos de Deporte"" por y"
2018-08-04 16:01:04,0.3158580919870018,60,1,Llegando al mercado de Magdalena.
2018-08-04 19:19:45,0.5901475219630348,0,0,Pronto.
2018-08-04 19:25:44,0.3439344467758169,77,11,Gracias Magdalena. Abrazo Raul Madueño. Ahora partimos a la pollada en El Agustino. Seguimos caminando por una
2018-08-04 21:53:19,0.20623760453593193,17,0,Gracias Magdalena. Abrazo Raul Madueño. Ahora partimos a la pollada en El Agustino.
